Song,Movie,Singer,Emotion,YouTubeID

Tum Hi Ho,Aashiqui 2,Arijit Singh,sad,Umqb9KENgmk
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh,sad,284Ov7ysmfA
Agar Tum Saath Ho,Tamasha,Alka Yagnik,sad,sK7riqg2mr4
Khairiyat,Chhichhore,Arijit Singh,sad,hoNb6HuNmU0
Phir Le Aaya Dil,Barfi,Arijit Singh,sad,TBs6f0f3Qv4
Tujhe Kitna Chahne Lage,Kabir Singh,Arijit Singh,sad,1a8h0k6nQ9c

Kala Chashma,Baar Baar Dekho,Neha Kakkar,happy,k4yXQkG2s1E
Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal,happy,II2EO3Nw4m0
Kar Gayi Chull,Kapoor & Sons,Badshah,happy,o1RducJbUdc
London Thumakda,Queen,Labh Janjua,happy,udra3Mfw2oo
Gallan Goodiyan,Dil Dhadakne Do,Yashita Sharma, happy,jCEdTq3j-0U
Nashe Si Chadh Gayi,Befikre,Arijit Singh,happy,1cDoRqPnCXU

Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan,angry,Ao9fkkfQy0o
Sultan Title Track,Sultan,Sukhwinder Singh,angry,wPxqcq6Byq0
Chak De India,Chak De India,Sukhwinder Singh,angry,0vN6S6C6x5U
Brothers Anthem,Brothers,Vishal Dadlani,angry,5zj2Jb9Q6Z0
Apna Time Aayega,Gully Boy,Ranveer Singh,angry,jFGKJBPFdUA

Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh,neutral,f9GfJ7o7l3k
Safarnama,Tamasha,Lucky Ali,neutral,fKp4z9Q4VnY
Phir Se Ud Chala,Rockstar,Mohit Chauhan,neutral,2Xl5V0a6X5w
Patakha Guddi,Highway,Nooran Sisters,neutral,bJ9r8LMU9bQ
Yun Hi Chala Chal,Swades,Udit Narayan,neutral,eEeX2QMlSlo

Malang Title Track,Malang,Ved Sharma,surprise,2Gg6Seob5Mg
Ghungroo,War,Arijit Singh,surprise,qFkNATtc3mc
Jai Jai Shivshankar,War,Vishal Dadlani,surprise,0L8lZp1r5tQ
Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Zack Knight,surprise,5w7H9B1nF8c
Dil Dhadakne Do Title,Dil Dhadakne Do,Priyanka Chopra,surprise,1v3c6d7bQ1A

Hanuman Chalisa,Hindu Devotional,Hariharan,fear,AETFvQonfV8
Shree Hanuman Chalisa,Gulshan Kumar Bhakti Sagar,Hari Om Sharan,fear,0y1bWk9wP6Q
Hanuman Chalisa (Fast),Devotional,Anuradha Paudwal,fear,2lXh2n0aPyw
Bajrang Baan,Hindu Devotional,Hariharan,fear,3d5q9Yl8m1Q
Hanuman Ashtak,Hindu Devotional,Gulshan Kumar,fear,6qk2nY8p3sU
Om Jai Jagdish Hare,Aarti,Anuradha Paudwal,fear,8f9k3n2Qp1A
Gayatri Mantra,Devotional,Anuradha Paudwal,fear,9x7L2k1mN8Q
Mahamrityunjaya Mantra,Devotional,Suresh Wadkar,fear,7y8P3kL2m9A

Beedi,Omkara,Sunidhi Chauhan,disgust,vVxj3fV7z7k
